,features
144,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
145,PER-1->seq_id
146,OXA-90->seq_id
147,OXA-72->seq_id
148,tet(B)->seq_id
149,adeS->seq_cov
150,adeC->seq_id
151,Acinetobacter_baumannii_AbaQ->seq_cov
152,CARB-14->seq_cov
153,adeR->seq_id
154,OXA-24->seq_id
155,ANT(3'')-IIb->seq_cov
156,OXA-24->seq_cov
157,adeA->seq_id
158,ADC-10->seq_cov
159,ANT(3'')-IIa->seq_cov
160,OXA-64->seq_id
161,OXA-71->seq_cov
162,Acinetobacter_baumannii_AbaQ->seq_id
163,adeN->seq_cov
164,aad(6)->seq_cov
165,adeI->seq_cov
166,abeS->seq_cov
167,OXA-106->seq_id
168,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
169,APH(3'')-Ib->seq_cov
170,ADC-41->seq_cov
171,OXA-69->seq_id
172,tet(39)->seq_cov
173,tet(B)->seq_cov
174,OXA-65->seq_id
175,dfrB1->seq_cov
176,OXA-259->seq_cov
177,adeB->seq_id
178,adeL->seq_cov
179,TEM-1->seq_id
180,CARB-14->seq_id
181,OXA-206->seq_cov
182,AAC(6')-Ian->seq_cov
183,ADC-11->seq_cov
184,OXA-68->seq_cov
185,Klebsiella_pneumoniae_KpnG->seq_id
186,APH(3')-VI->seq_id
187,OXA-206->seq_id
188,OXA-66->seq_cov
189,ADC-2->seq_cov
190,adeH->seq_cov
191,armA->seq_cov
192,ADC-19->seq_cov
193,mphE->seq_cov
194,sul2->seq_id
195,sul1->seq_cov
196,APH(3')-Ia->seq_cov
197,aad(6)->seq_id
198,SAT-4->seq_cov
199,adeC->seq_cov
200,dfrA1->seq_id
201,OXA-64->seq_cov
