,features
98,OXA-68->seq_id
99,Acinetobacter_baumannii_AbaF->seq_cov
100,adeF->seq_id
101,SAT-1->seq_id
102,OXA-72->seq_cov
103,floR->seq_id
104,OXA-260->seq_id
105,ADC-6->seq_cov
106,OXA-208->seq_id
107,ADC-76->seq_id
108,ADC-58->seq_cov
109,dfrA19->seq_id
110,OXA-115->seq_id
111,cmeB->seq_id
112,golS->seq_cov
113,APH(3')-VIa->seq_id
114,ADC-11->seq_id
115,aadA12->seq_id
116,APH(6)-Id->seq_id
117,AAC(6')-Ib7->seq_id
118,ADC-68->seq_id
119,cmlB1->seq_id
120,OXA-103->seq_cov
121,adeJ->seq_cov
122,APH(6)-Id->seq_cov
123,ANT(2'')-Ia->seq_cov
124,AAC(3)-Ia->seq_cov
125,AAC(6')-Iaf->seq_cov
126,adeA->seq_cov
127,tet(A)->seq_cov
128,adeI->seq_id
129,OXA-242->seq_id
130,OXA-103->seq_id
131,AAC(6')-Iaf->seq_id
132,adeB->seq_cov
133,mdsB->seq_id
134,golS->seq_id
135,AAC(6')-Ib7->seq_cov
136,mdsB->seq_cov
137,catB3->seq_id
138,catB3->seq_cov
139,TEM-12->seq_id
140,ADC-41->seq_id
141,OXA-23->seq_cov
142,OXA-58->seq_id
143,AAC(3)-Ia->seq_id
144,mexK->seq_cov
145,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
146,PER-1->seq_id
147,OXA-72->seq_id
148,tet(B)->seq_id
149,NDM-1->seq_id
150,OXA-208->seq_cov
151,OXA-317->seq_cov
152,adeS->seq_cov
153,adeC->seq_id
154,Acinetobacter_baumannii_AbaQ->seq_cov
155,adeR->seq_id
156,OXA-24->seq_id
157,ANT(3'')-IIb->seq_cov
158,OXA-24->seq_cov
159,adeA->seq_id
160,ADC-10->seq_cov
161,ANT(3'')-IIa->seq_cov
162,OXA-64->seq_id
163,OXA-71->seq_cov
164,Acinetobacter_baumannii_AbaQ->seq_id
165,OXA-113->seq_id
166,adeN->seq_cov
167,adeI->seq_cov
168,abeS->seq_cov
169,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
170,APH(3'')-Ib->seq_cov
171,ADC-41->seq_cov
172,OXA-242->seq_cov
173,OXA-69->seq_id
174,tet(39)->seq_cov
175,tet(B)->seq_cov
176,OXA-65->seq_id
177,acrF->seq_cov
178,adeB->seq_id
179,adeL->seq_cov
180,aadA17->seq_cov
181,TEM-1->seq_id
182,AAC(6')-Ian->seq_cov
183,ADC-11->seq_cov
184,OXA-68->seq_cov
185,Klebsiella_pneumoniae_KpnG->seq_id
186,APH(3')-VI->seq_id
187,OXA-66->seq_cov
188,ADC-2->seq_cov
189,adeH->seq_cov
190,OXA-317->seq_id
191,mphE->seq_cov
192,sul2->seq_id
193,sul1->seq_cov
194,APH(3')-Ia->seq_cov
195,adeC->seq_cov
196,dfrA1->seq_id
197,OXA-64->seq_cov
